aba aba
abacı  aba-'dZ@
acep  a-'dZep
acı  adZ@
acıdı  adZ@-'d@
acıdığı  adZ@-d@-'G@
acıdığım  adZ@-d@-'G@m
acıdığımdan  adZ@-d@-G@m-'dan
acıkırsa  adZ@-k@r-'sa
acıkırsan  adZ@-k@r-'san
acıkırsanız  adZ@-k@r-sa-'n@z
acıklı  a-dZ@k-'l@
acıktım  a-dZ@k-'t@m
acıktığımda  a-dZ@k-t@-G@m-'da
acıktın  a-dZ@k-'t@n
acılar  adZ@-'lar
acılı  adZ@-'l@
acımadan  adZ@-ma-'dan
acımadı  adZ@-ma-'d@
acımak  adZ@-'mak
acımaksızın  adZ@-mak-s@-'z@n
acımaz  adZ@-'maz
acındırmak  a-dZ@n-d@r-'mak
acındırmada  a-dZ@n-d@r-ma-'da
acındırmadan  a-dZ@n-d@r-ma-'dan
acındırmadım  a-dZ@n-d@r-ma-'d@m
acındırmak  a-dZ@n-d@r-'mak
acındırmakla  a-dZ@n-d@r-mak-'la
acındırmakta  a-dZ@n-d@r-mak-'ta
acındırmaktan  a-dZ@n-d@r-mak-'tan
acındırmaktır  a-dZ@n-d@r-mak-'t@r
acındırmaları  a-dZ@n-d@r-ma-la-'r@
acındırmalarla  a-dZ@n-d@r-ma-lar-'la
acındırmam  a-dZ@n-d@r-'mam
acındırmanın  a-dZ@n-d@r-ma-'n@n
acındırmasını  a-dZ@n-d@r-ma-s@-'n@
acındırmasınlar  a-dZ@n-d@r-ma-s@n-'lar
acındırmaya  a-dZ@n-d@r-ma-'Za
acındırmayı  a-dZ@n-d@r-ma-'Z@
acındırmayın  a-dZ@n-d@r-ma-'Z@n
acındırmayla  a-dZ@n-d@r-maZ-'la
acındırmış  a-dZ@n-d@r-'m@S
acındırmıyorum  a-dZ@n-d@r-m@-Zo-'rum
acını  adZ@-'n@
acınılacak  adZ@-n@-la-'dZak
acınılası  adZ@-n@-la-'s@
acının  adZ@-'n@n
acınır  adZ@-'n@r
acınırlık  adZ@-n@r-'l@k
acınıyor  adZ@-n@-'Zor
acınıyordu  adZ@-n@-Zor-'du
acınız  adZ@-'n@z
acınıza  adZ@-n@-'za
acınızda  adZ@-n@z-'da
acınızdan  adZ@-n@z-'dan
acınızı  adZ@-n@-'z@
acınızın  adZ@-n@-'z@n
acınızla  adZ@-n@z-'la
acınla  a-dZ@n-'la
acınma  a-dZ@n-'ma
acınmadı  a-dZ@n-ma-'d@
acınmadığını  a-dZ@n-ma-d@-G@-'n@
acınmak  a-dZ@n-'mak
acınmaktan  a-dZ@n-mak-'tan
acınmaması  a-dZ@n-ma-ma-'s@
acınmamayı  a-dZ@n-ma-ma-'Z@
acınmanız  a-dZ@n-ma-'n@z
acınması  a-dZ@n-ma-'s@
acınmasın  a-dZ@n-ma-'s@n
acınmasına  a-dZ@n-ma-s@-'na
acınmasından  a-dZ@n-ma-s@n-'dan
acınmasını  a-dZ@n-ma-s@-'n@
acınmaya  a-dZ@n-ma-'Za
acınmayacağı  a-dZ@n-ma-Za-dZa-'G@
acınmayacak  a-dZ@n-ma-Za-'dZak
acınmayı  a-dZ@n-ma-'Z@
acınmaz  a-dZ@n-'maz
acınsa  a-dZ@n-'sa
acınsın  a-dZ@n-'s@n
acır  a-'dZ@r
acırcasına  a-dZ@r-dZa-s@-'na
acırdı  a-dZ@r-'d@
acırdık  a-dZ@r-'d@k
acırdım  a-dZ@r-'d@m
acırım  adZ@-'r@m
acırız  adZ@-'r@z
acırken  a-dZ@r-'ken
acırlar  a-dZ@r-'lar
acırmış  a-dZ@r-'m@S
acırsa  a-dZ@r-'sa
acırsak  a-dZ@r-'sak
acırsan  a-dZ@r-'san
acırsanız  a-dZ@r-sa-'n@z
acırsın  a-dZ@r-'s@n
acırsınız  a-dZ@r-s@-'n@z
acısa  adZ@-'sa
acısak  adZ@-'sak
acısam  adZ@-'sam
acısaydı  adZ@-saZ-'d@
acısaydınız  adZ@-saZ-d@-'n@z
acısı  adZ@-'s@
acısıdır  adZ@-s@-'d@r
acısın  adZ@-'s@n
acısına  adZ@-s@-'na
acısında  adZ@-s@n-'da
acısından  adZ@-s@n-'dan
acısını  adZ@-s@-'n@
acısının  adZ@-s@-'n@n
acısınını  adZ@-s@-n@-'n@
acısınlar  adZ@-s@n-'lar
acısıydı  adZ@-s@Z-'d@
acısıydılar  adZ@-s@Z-d@-'lar
acısıyı  adZ@-s@-'Z@
acısıyız  adZ@-s@-'Z@z
acısıyken  adZ@-s@Z-'ken
acısıyla  adZ@-s@Z-'la
acısıymış  adZ@-s@Z-'m@S
acısıysa  adZ@-s@Z-'sa
acısız  adZ@-'s@z
acısıza  adZ@-s@-'za
acısızca  adZ@-s@z-'dZa
acısızda  adZ@-s@z-'da
acısızdan  adZ@-s@z-'dan
acısızdır  adZ@-s@z-'d@r
acısızı  adZ@-s@-'z@
acısızın  adZ@-s@-'z@n
acısızına  adZ@-s@-z@-'na
acısızını  adZ@-s@-z@-'n@
acısızının  adZ@-s@-z@-'n@n
acısızıyla  adZ@-s@-z@Z-'la
acısızla  adZ@-s@z-'la
acısızlığın  adZ@-s@z-l@-'G@n
acısızlıktadır  adZ@-s@z-l@k-ta-'d@r
acıt  a-'dZ@t
acıta  adZ@-'ta
acıtabildiği  adZ@-ta-bIl-dI-'GI
acıtabileceğini  adZ@-ta-bI-le-dZe-GI-'nI
acıtabilecek  adZ@-ta-bI-le-'dZek
acıtabilen  adZ@-ta-bI-'len
acıtabilir  adZ@-ta-bI-'lIr
acıtabilirdi  adZ@-ta-bI-lIr-'dI
acıtabilirim  adZ@-ta-bI-lI-'rIm
acıtabiliriz  adZ@-ta-bI-lI-'rIz
acıtabiliyor  adZ@-ta-bI-lI-'Zor
acıtacağı  adZ@-ta-dZa-'G@
acıtacağım  adZ@-ta-dZa-'G@m
acıtacağına  adZ@-ta-dZa-G@-'na
acıtacağını  adZ@-ta-dZa-G@-'n@
acıtacağız  adZ@-ta-dZa-'G@z
acıtacak  adZ@-ta-'dZak
acıtacaklardı  adZ@-ta-dZak-lar-'d@
acıtacaksın  adZ@-ta-dZak-'s@n
acıtacaksınız  adZ@-ta-dZak-s@-'n@z
acıtacaktı  adZ@-ta-dZak-'t@
acıtacaktır  adZ@-ta-dZak-'t@r
acıtamadıkları  adZ@-ta-ma-d@k-la-'r@
acıtamamış  adZ@-ta-ma-'m@S
acıtamayacaklar  adZ@-ta-ma-Za-dZak-'lar
acıtamaz  adZ@-ta-'maz
acıtamazsınız  adZ@-ta-maz-s@-'n@z
acıtan  adZ@-'tan
acıtana  adZ@-ta-'na
acıtanı  adZ@-ta-'n@
acıtanıdır  adZ@-ta-n@-'d@r
acıtanın  adZ@-ta-'n@n
acıtanından  adZ@-ta-n@n-'dan
acıtanını  adZ@-ta-n@-'n@
acıtanlar  adZ@-tan-'lar
acıtanlardır  adZ@-tan-lar-'d@r
acıtanları  adZ@-tan-la-'r@
acıtanların  adZ@-tan-la-'r@n
acıtarak  adZ@-ta-'rak
acıtayım  adZ@-ta-'Z@m
acıtıcı  adZ@-t@-'dZ@
acıtıcıdır  adZ@-t@-dZ@-'d@r
acıtıcılar  adZ@-t@-dZ@-'lar
acıtıcılığı  adZ@-t@-dZ@-l@-'G@
acıtıcılığına  adZ@-t@-dZ@-l@-G@-'na
acıtıcılığıyla  adZ@-t@-dZ@-l@-G@Z-'la
acıtıcılıklarıyla  adZ@-t@-dZ@-l@k-la-r@Z-'la
acıtıcısı  adZ@-t@-dZ@-'s@
acıtıcıydı  adZ@-t@-dZ@Z-'d@
acıtıcıyken  adZ@-t@-dZ@Z-'ken
acıtılamayan  adZ@-t@-la-ma-'Zan
acıtılan  adZ@-t@-'lan
acıtılarak  adZ@-t@-la-'rak
acıtılası  adZ@-t@-la-'s@
acıtıldığımı  adZ@-t@l-d@-G@-'m@
acıtıldığında  adZ@-t@l-d@-G@n-'da
acıtılmadan  adZ@-t@l-ma-'dan
acıtılmaktan  adZ@-t@l-mak-'tan
acıtılmamalı  adZ@-t@l-ma-ma-'l@
acıtılmamıza  adZ@-t@l-ma-m@-'za
acıtılmaz  adZ@-t@l-'maz
acıtınca  adZ@-t@n-'dZa
acıtıp  adZ@-'t@p
acıtır  adZ@-'t@r
acıtırdı  adZ@-t@r-'d@
acıtırdılar  adZ@-t@r-d@-'lar
acıtırdım  adZ@-t@r-'d@m
acıtırım  adZ@-t@-'r@m
acıtırız  adZ@-t@-'r@z
acıtırken  adZ@-t@r-'ken
acıtırlar  adZ@-t@r-'lar
acıtırlardı  adZ@-t@r-lar-'d@
acıtırlarsa  adZ@-t@r-lar-'sa
acıtırmış  adZ@-t@r-'m@S
acıtırsa  adZ@-t@r-'sa
acıtırsam  adZ@-t@r-'sam
acıtırsın  adZ@-t@r-'s@n
acıtıveriyor  adZ@-t@-ve-rI-'Zor
acıtıyor  adZ@-t@-'Zor
acıtıyordu  adZ@-t@-Zor-'du
acıtıyordur  adZ@-t@-Zor-'dur
acıtıyorlar  adZ@-t@-Zor-'lar
acıtıyormuş  adZ@-t@-Zor-'muS
acıtıyorsa  adZ@-t@-Zor-'sa
acıtıyorsun  adZ@-t@-Zor-'sun
acıtıyorsundur  adZ@-t@-Zor-sun-'dur
acıtıyorum  adZ@-t@-Zo-'rum
acıtıyoruz  adZ@-t@-Zo-'ruz
acıtma  a-dZ@t-'ma
acıtmacasına  a-dZ@t-ma-dZa-s@-'na
acıtmacı  a-dZ@t-ma-'dZ@
acıtmadan  a-dZ@t-ma-'dan
acıtmadı  a-dZ@t-ma-'d@
acıtmadığı  a-dZ@t-ma-d@-'G@
acıtmadığımı  a-dZ@t-ma-d@-G@-'m@
acıtmadığına  a-dZ@t-ma-d@-G@-'na
acıtmadığını  a-dZ@t-ma-d@-G@-'n@
acıtmadım  a-dZ@t-ma-'d@m
acıtmak  a-dZ@t-'mak
acıtmaktadır  a-dZ@t-mak-ta-'d@r
acıtmaktadırlar  a-dZ@t-mak-ta-d@r-'lar
acıtmaktan  a-dZ@t-mak-'tan
acıtmaktır  a-dZ@t-mak-'t@r
acıtmalar  a-dZ@t-ma-'lar
acıtmalara  a-dZ@t-ma-la-'ra
acıtmalarına  a-dZ@t-ma-la-r@-'na
acıtmalarını  a-dZ@t-ma-la-r@-'n@
acıtmalı  a-dZ@t-ma-'l@
acıtmam  a-dZ@t-'mam
acıtmamak  a-dZ@t-ma-'mak
acıtmaya  a-dZ@t-ma-'Za
acıtsan  a-dZ@t-'san
acıyanınız  adZ@-Za-n@-'n@z
aczimin  adZ-zI-'mIn
açabilecekken  atSa-bI-le-dZek-'ken
açacaklarımız  atSa-dZak-la-r@-'m@z
açamıyorlarmış  atSa-m@-Zor-lar-'m@S
açanı  atSa-'n@
açgözlülüklerine  atS-g@'z-lZ-lZk-le-rI-'ne
açgözlülükten  atS-g@'z-lZ-lZk-'ten
açığından  atS@-G@n-'dan
açıklamalardır  a-tS@k-la-ma-lar-'d@r
açıklamalıydılar  a-tS@k-la-ma-l@Z-d@-'lar
açıklamamaktı  a-tS@k-la-ma-mak-'t@
açıklarımızı  a-tS@k-la-r@-m@-'z@
açıklıklıkla  a-tS@k-l@k-l@k-'la
açılardaki  atS@-lar-da-'kI
açılımdaki  atS@-l@m-da-'kI
açılışlarındaki  atS@-l@S-la-r@n-da-'kI
açılmayanına  a-tS@l-ma-Za-n@-'na
açısındaki  atS@-s@n-da-'kI
açış  a-'tS@S
açlığıyla  atS-l@-G@Z-'la
açmasıysa  atS-ma-s@Z-'sa
açmazdaki  atS-maz-da-'kI
açmazlarken  atS-maz-lar-'ken
açsanıza  atS-sa-n@-'za
açtıracaksın  atS-t@-ra-dZak-'s@n
açtırmamalı  atS-t@r-ma-ma-'l@
açtırmazken  atS-t@r-maz-'ken
açtırmazsam  atS-t@r-maz-'sam
adabınız  ada-b@-'n@z
adaletsizliklerini  ada-let-sIz-lIk-le-rI-'nI
adamıdır  ada-m@-'d@r
adamıysak  ada-m@Z-'sak
adamlarımızı  a-dam-la-r@-m@-'z@
adaptasyonlarına  a-dap-tas-Zon-la-r@-'na
adaşlarında  a-daS-la-r@n-'da
adayacağınıza  ada-Za-dZa-G@-n@-'za
adayacaksın  ada-Za-dZak-'s@n
adaylarımızın  a-daZ-la-r@-m@-'z@n
adaylığımın  a-daZ-l@-G@-'m@n
addedilebiliyor  ad-de-dI-le-bI-lI-'Zor
ademoğluyuz  ade-moG-lu-'Zuz
adının  ad@-'n@n
adi  adI
adilin  adI-'lIn
adlandırageldiğim  ad-lan-d@-ra-gel-dI-'GIm
adlandırıyorlar  ad-lan-d@-r@-Zor-'lar
adların  ad-la-'r@n
adlındaki  ad-l@n-da-'kI
adliyeleri  ad-lI-Ze-le-'rI
adsına  ad-s@-'na
afallayabiliyoruz  a-fal-la-Za-bI-lI-Zo-'ruz
afettir  a-fet-'tIr
affedileceğime  af-fe-dI-le-dZe-GI-'me
affedilmedi  af-fe-dIl-me-'dI
affedilmemesidir  af-fe-dIl-me-me-sI-'dIr
affetmeni  af-fet-me-'nI
affetmişiniz  af-fet-mI-SI-'nIz
affetmişsiniz  af-fet-mIS-sI-'nIz
affetmiyor  af-fet-mI-'Zor
affettirebilirdim  af-fet-tI-re-bI-lIr-'dIm
affettireceğimi  af-fet-tI-re-dZe-GI-'mI
affettirmelerinin  af-fet-tIr-me-le-rI-'nIn
affettirmenin  af-fet-tIr-me-'nIn
affettirmese  af-fet-tIr-me-'se
afiyetteyim  afI-Zet-te-'ZIm
agorafobide  ago-ra-fo-bI-'de
agresiftik  ag-re-sIf-'tIk
agresiftim  ag-re-sIf-'tIm
agusunun  agu-su-'nun
ağabeylerimizsiniz  aGa-beZ-le-rI-mIz-sI-'nIz
ağaçlandırılmalı  a-GatS-lan-d@-r@l-ma-'l@
ağaçlandırmak  a-GatS-lan-d@r-'mak
ağaçlıktı  a-GatS-l@k-'t@
ağaçsızlaşmış  a-GatS-s@z-laS-'m@S
ağartmasını  a-Gart-ma-s@-'n@
ağdım  aG-'d@m
ağırlamadılar  a-G@r-la-ma-d@-'lar
ağırlamaydı  a-G@r-la-maZ-'d@
ağırlaştırırlar  a-G@r-laS-t@-r@r-'lar
ağırlayabilen  a-G@r-la-Za-bI-'len
ağırlıklar  a-G@r-l@k-'lar
ağırşaklar  a-G@r-Sak-'lar
ağıtlarla  a-G@t-lar-'la
ağlanılmamalı  aG-la-n@l-ma-ma-'l@
ağlarından  aG-la-r@n-'dan
ağlasaydı  aG-la-saZ-'d@
ağlaşmaz  aG-laS-'maz
ağlatmalarıydı  aG-lat-ma-la-r@Z-'d@
ağlayacaksın  aG-la-Za-dZak-'s@n
ağrıtmaya  aG-r@t-ma-'Za
ahadan  aha-'dan
ahırdan  a-h@r-'dan
ahi  'ahI
ahiren  ahI-'ren
ahiretime  ahI-re-tI-'me
ahizeden  ahI-ze-'den
ahladık  ah-la-'d@k
ahlakçılığın  ah-lak-tS@-l@-'G@n
ahlakinin  ah-la-kI-'nIn
ahlaklılığını  ah-lak-l@-l@-G@-'n@
ahlaklısına  ah-lak-l@-s@-'na
aidatın  a-I-da-'t@n
ailedekilerin  a-I-le-de-kI-le-'rIn
ailelerimizi  a-I-le-le-rI-mI-'zI
akacakları  aka-dZak-la-'r@
akademisyenlikler  aka-de-mIs-Zen-lIk-'ler
akarcalı  a-kar-dZa-'l@
akarlığı  a-kar-l@-'G@
akdedilmekte  ak-de-dIl-mek-'te
akıllıysanız  a-k@l-l@Z-sa-'n@z
akımlarıdır  a-k@m-la-r@-'d@r
akışınız  ak@-S@-'n@z
akışkanlığın  a-k@S-kan-l@-'G@n
akıtılmamalı  ak@-t@l-ma-ma-'l@
akıtması  a-k@t-ma-'s@
aklamaları  ak-la-ma-la-'r@
aklanma  ak-lan-'ma
aklındakilerden  ak-l@n-da-kI-ler-'den
akrabalarla  ak-ra-ba-lar-'la
akrebinin  ak-re-bI-'nIn
akreditasyonlarıyla  ak-re-dI-tas-Zon-la-r@Z-'la
akrobat  ak-ro-'bat
aksaklar  ak-sak-'lar
aksatır  ak-sa-'t@r
aksatmamak  ak-sat-ma-'mak
aksatmıyorum  ak-sat-m@-Zo-'rum
aksattım  ak-sat-'t@m
aksettirmekle  ak-set-tIr-mek-'le
aktarabilmekteyiz  ak-ta-ra-bIl-mek-te-'ZIz
aktaramayabilir  ak-ta-ra-ma-Za-bI-'lIr
aktarılacağı  ak-ta-r@-la-dZa-'G@
aktarıldığın  ak-ta-r@l-d@-'G@n
aktarmasıdır  ak-tar-ma-s@-'d@r
alabaştan  ala-baS-'tan
alacaklınınki  ala-dZak-l@-n@n-'kI
alamayacaklarından  ala-ma-Za-dZak-la-r@n-'dan
alamazdı  ala-maz-'d@
alametine  ala-me-tI-'ne
alametlerini  ala-met-le-rI-'nI
alanlardakiler  a-lan-lar-da-kI-'ler
alanlı  a-lan-'l@
alayımla  ala-Z@m-'la
albümlerini  al-bZm-le-rI-'nI
albümümüzle  al-bZ-mZ-mZz-'le
alçaklaşmadan  al-tSak-laS-ma-'dan
alçaklıklar  al-tSak-l@k-'lar
alçalmanız  al-tSal-ma-'n@z
aldanacak  al-da-na-'dZak
aldatamaya  al-da-ta-ma-'Za
aldatılabildi  al-da-t@-la-bIl-'dI
aldatıldığını  al-da-t@l-d@-G@-'n@
aldatmadığını  al-dat-ma-d@-G@-'n@
aldatmama  al-dat-ma-'ma
aldattığınızda  al-dat-t@-G@-n@z-'da
aldıklarıdır  al-d@k-la-r@-'d@r
aldırılmaması  al-d@-r@l-ma-ma-'s@
aldırılmasının  al-d@-r@l-ma-s@-'n@n
aldırmamalarını  al-d@r-ma-ma-la-r@-'n@
aldırmayacağına  al-d@r-ma-Za-dZa-G@-'na
alegorisine  ale-go-rI-sI-'ne
alenidir  ale-nI-'dIr
alenisinin  ale-nI-sI-'nIn
aleviliğinizi  ale-vI-lI-GI-nI-'zI
aleviliğiyle  ale-vI-lI-GIZ-'le
aleviliklerin  ale-vI-lIk-le-'rIn
alevin  ale-'vIn
alevlendir  a-lev-len-'dIr
alevlendirilip  a-lev-len-dI-rI-'lIp
alevlendiriyordu  a-lev-len-dI-rI-Zor-'du
alevlerinde  a-lev-le-rIn-'de
algılamazsanız  al-g@-la-maz-sa-'n@z
algılarından  al-g@-la-r@n-'dan
algılatmakta  al-g@-lat-mak-'ta
algılatmaya  al-g@-lat-ma-'Za
algılayacaksın  al-g@-la-Za-dZak-'s@n
algılayamaz  al-g@-la-Za-'maz
alıkoyamamalı  al@-ko-Za-ma-ma-'l@
alıkoyamaz  al@-ko-Za-'maz
alıkoymayacağım  al@-koZ-ma-Za-dZa-'G@m
alınıverse  al@-n@-ver-'se
alınmasaydım  a-l@n-ma-saZ-'d@m
alınmasıydı  a-l@n-ma-s@Z-'d@
alıntılayan  a-l@n-t@-la-'Zan
alıntılayınca  a-l@n-t@-la-Z@n-'dZa
alırken  a-l@r-'ken
alışabildiğim  al@-Sa-bIl-dI-'GIm
alışabilirsiniz  al@-Sa-bI-lIr-sI-'nIz
alışkanlığındalar  a-l@S-kan-l@-G@n-da-'lar
alışkanlıklarıydı  a-l@S-kan-l@k-la-r@Z-'d@
alışmadılar  a-l@S-ma-d@-'lar
alışmamıza  a-l@S-ma-m@-'za
alıştıracağınızdan  a-l@S-t@-ra-dZa-G@-n@z-'dan
alıştırıyor  a-l@S-t@-r@-'Zor
alıştırmak  a-l@S-t@r-'mak
alıştırmalarını  a-l@S-t@r-ma-la-r@-'n@
alışverişinde  a-l@S-ve-rI-SIn-'de
alimlerimizi  a-lIm-le-rI-mI-'zI
alimsiniz  a-lIm-sI-'nIz
alkışlamazlardı  al-k@S-la-maz-lar-'d@
alkışlanan  al-k@S-la-'nan
alkolüne  al-ko-lZ-'ne
allığına  al-l@-G@-'na
almamasında  al-ma-ma-s@n-'da
almamıştım  al-ma-m@S-'t@m
almasanız  al-ma-sa-'n@z
almışları  al-m@S-la-'r@
alnına  al-n@-'na
altıgenler  al-t@-gen-'ler
altıncılıklar  al-t@n-dZ@-l@k-'lar
altıncısıydı  al-t@n-dZ@-s@Z-'d@
altındakilerden  al-t@n-da-kI-ler-'den
altızlar  al-t@z-'lar
alüminyumcuya  alZ-mIn-Zum-dZu-'Za
alyansları  al-Zans-la-'r@
amacımız  ama-dZ@-'m@z
amacındasınız  ama-dZ@n-da-s@-'n@z
amaçlarındandır  a-matS-la-r@n-dan-'d@r
amaçlarlarsa  a-matS-lar-lar-'sa
amaçlayabilecekleri  a-matS-la-Za-bI-le-dZek-le-'rI
amaçsa  a-matS-'sa
amansızken  a-man-s@z-'ken
amazonunun  ama-zo-nu-'nun
ambarımızda  am-ba-r@-m@z-'da
amelim  ame-'lIm
amerikancısınız  ame-rI-kan-dZ@-s@-'n@z
amiralime  amI-ra-lI-'me
amirlerinizle  a-mIr-le-rI-nIz-'le
amirliğimizin  a-mIr-lI-GI-mI-'zIn
amiyaneliğine  amI-Za-ne-lI-GI-'ne
anabilirsiniz  ana-bI-lIr-sI-'nIz
analizcilik  ana-lIz-dZI-'lIk
analizlerdir  ana-lIz-ler-'dIr
analogları  ana-log-la-'r@
ananesine  ana-ne-sI-'ne
anaparaya  ana-pa-ra-'Za
anarşiyse  a-nar-SIZ-'se
anayasacımızla  ana-Za-sa-dZ@-m@z-'la
anayurtlarını  ana-Zurt-la-r@-'n@
anılacak  an@-la-'dZak
anılamazmış  an@-la-maz-'m@S
anıldığını  a-n@l-d@-G@-'n@
