à 'a functional
ç' 's 
accéda a-kse-'da 
accédaient a-kse-'dE 
accédait a-kse-'dE 
accédant a-kse-'da~ 
accédants a-kse-'da~ 
accède a-'ksEd 
accèdent a-'ksEd 
accéder a-kse-'de 
accédera a-kse-d@-'Ra 
accéderaient a-kse-d@-'RE 
accéderait a-kse-d@-'RE 
accéderont a-kse-d@-'Ro~ 
accédons a-kse-'do~ 
accédèrent a-kse-'dER 
acceda a-ks@-'da 
accedaient a-ks@-dE-'a~ 
accedait a-ks@-'dE 
accedant a-ks@-'da~ 
accedants a-ks@-'da~ 
accede a-'ks@d 
accedent a-ks@-'da~ 
acceder a-ks@-'de 
accedera a-ks@-d@-'Ra 
accederaient a-ks@-d@-RE-'a~ 
accederait a-ks@-d@-'RE 
accederent a-ks@-d@-'Ra~ 
accederont a-ks@-d@-'Ro~ 
accedons a-ks@-'do~ 
accelera a-ks@-l@-'Ra 
acceleraient a-ks@-l@-RE-'a~ 
accelerait a-ks@-l@-'RE 
accelerant a-ks@-l@-'Ra~ 
accelerateur a-ks@-l@-Ra-'t9R 
accelerateurs a-ks@-l@-Ra-'t9R 
acceleration a-ks@-l@-Ra-'sjo~ 
accelerations a-ks@-l@-Ra-'sjo~ 
accelere a-ks@-'l@R 
acceleree a-ks@-l@-'Ri 
accelerees a-ks@-l@-'Ri 
accelerent a-ks@-l@-'Ra~ 
accelerer a-ks@-l@-'Re 
accelerera a-ks@-l@-R@-'Ra 
accelererait a-ks@-l@-R@-'RE 
accelererent a-ks@-l@-R@-'Ra~ 
accelereront a-ks@-l@-R@-'Ro~ 
acceleres a-ks@-'l@R 
accelerons a-ks@-l@-'Ro~ 
accent a-'ksa~ 
accents a-'ksa~ 
accentué a-ksa~-ty-'e 
accentua a-ksa~-ty-'a 
accentuaient a-ksa~-ty-'E 
accentuait a-ksa~-ty-'E 
accentuant a-ksa~-ty-'a~ 
accentuation a-ksa~-ty-a-'sjo~ 
accentuations a-ksa~-ty-a-'sjo~ 
accentue a-ksa~-'ty 
accentuée a-ksa~-ty-'e 
accentuee a-ksa~-'tHi 
accentuees a-ksa~-'tHi 
accentuent a-ksa~-'ty 
accentuer a-ksa~-'tHe 
accentuera a-ksa~-'tHRa 
accentueraient a-ksa~-'tHRE 
accentuerait a-ksa~-'tHRE 
accentuerent a-ksa~-'tHRa~ 
accentueront a-ksa~-'tHRo~ 
accentues a-ksa~-'ty 
accentuées a-ksa~-ty-'e 
accentuèrent a-ksa~-ty-'ER 
accentués a-ksa~-ty-'e 
accepté a-ksE-'pte 
accepta a-ksE-'pta 
acceptabilité a-ksE-pta-bi-li-'te 
acceptabilite a-ksE-pta-bi-'lit 
acceptable a-ksE-pta-'bl@ 
acceptables a-ksE-pta-'bl@ 
acceptaient a-ksE-'ptE 
acceptais a-ksE-'ptE 
acceptait a-ksE-'ptE 
acceptant a-ksE-'pta~ 
acceptat a-ksE-'pta 
acceptation a-ksE-pta-'sjo~ 
acceptations a-ksE-pta-'sjo~ 
accepte a-'ksEpt 
acceptée a-ksE-'pte 
acceptee a-ksE-'pti 
acceptees a-ksE-'pti 
acceptent a-'ksEpt 
accepter a-ksE-'pte 
acceptera a-ksE-pt@-'Ra 
accepterai a-ksE-pt@-'RE 
accepteraient a-ksE-pt@-'RE 
accepterais a-ksE-pt@-'RE 
accepterait a-ksE-pt@-'RE 
accepterent a-ksE-pt@-'Ra~ 
accepterez a-ksE-pt@-'Re 
accepteriez a-ksE-pt@-'RjE 
accepterions a-ksE-pt@-'Rjo~ 
accepterons a-ksE-pt@-'Ro~ 
accepteront a-ksE-pt@-'Ro~ 
acceptes a-'ksEpt 
acceptées a-ksE-'pte 
acceptez a-ksE-'pte 
acceptiez a-ksE-'ptjE 
acception a-ksE-'psjo~ 
acceptions a-ksE-'psjo~ 
acceptons a-ksE-'pto~ 
acceptèrent a-ksE-'ptER 
acceptés a-ksE-'pte 
acceptât a-ksE-'pta 
acces a-'ks@ 
accessibilité a-kse-si-bi-li-'te 
accessibilite a-kse-si-bi-'lit 
accessible a-kse-si-'bl@ 
accessibles a-kse-si-'bl@ 
accession a-kse-'sjo~ 
accessit a-kse-'sit 
accessits a-kse-'sit 
accessoire a-kse-'swaR 
accessoirement a-kse-swa-R@-'ma~ 
accessoires a-kse-'swaR 
accessoiriste a-kse-swa-Ris-'t@ 
accessoiristes a-kse-swa-Ris-'t@ 
accident a-ksi-'da~ 
accidenté a-ksi-da~-'te 
accidente a-ksi-'da~t 
accidentée a-ksi-da~-'te 
accidentee a-ksi-da~-'ti 
accidentees a-ksi-da~-'ti 
accidentel a-ksi-da~-'tEl 
accidentelle a-ksi-da~-'tEl 
accidentellement a-ksi-da~-tE-l@-'ma~ 
accidentelles a-ksi-da~-'tEl 
accidentels a-ksi-da~-'tEl 
accidentes a-ksi-'da~t 
accidentées a-ksi-da~-'te 
accidents a-ksi-'da~ 
accidentés a-ksi-da~-'te 
accise a-'ksiz 
accises a-'ksiz 
acclamé a-kla-'me 
acclamaient a-kla-'mE 
acclamait a-kla-'mE 
acclamant a-kla-'ma~ 
acclamation a-kla-ma-'sjo~ 
acclamations a-kla-ma-'sjo~ 
acclame a-'klam 
acclamée a-kla-'me 
acclamee a-kla-'mi 
acclamees a-kla-'mi 
acclament a-'klam 
acclamer a-kla-'me 
acclames a-'klam 
acclamées a-kla-'me 
acclamés a-kla-'me 
acclimaté a-kli-ma-'te 
acclimata a-kli-ma-'ta 
acclimatant a-kli-ma-'ta~ 
acclimatation a-kli-ma-ta-'sjo~ 
acclimate a-kli-'mat 
acclimatée a-kli-ma-'te 
acclimatee a-kli-ma-'ti 
acclimatees a-kli-ma-'ti 
acclimatent a-kli-'mat 
acclimater a-kli-ma-'te 
acclimates a-kli-'mat 
acclimatées a-kli-ma-'te 
acclimatés a-kli-ma-'te 
accéléré a-kse-le-'Re 
accéléra a-kse-le-'Ra 
accéléraient a-kse-le-'RE 
accélérait a-kse-le-'RE 
accélérant a-kse-le-'Ra~ 
accélérateur a-kse-le-Ra-'t9R 
accélérateurs a-kse-le-Ra-'t9R 
accélération a-kse-le-Ra-'sjo~ 
accélérations a-kse-le-Ra-'sjo~ 
accélère a-kse-'lER 
accélérée a-kse-le-'Re 
accélèrent a-kse-'lER 
accélérer a-kse-le-'Re 
accélérera a-kse-le-R@-'Ra 
accélérerait a-kse-le-R@-'RE 
accéléreront a-kse-le-R@-'Ro~ 
accélérées a-kse-le-'Re 
accélérons a-kse-le-'Ro~ 
accélérèrent a-kse-le-'RER 
accélérés a-kse-le-'Re 
accolé a-k0-'le 
accola a-k0-'la 
accolade a-k0-'lad 
accolades a-k0-'lad 
accolant a-k0-'la~ 
accole a-'k0l 
accolée a-k0-'le 
accolee a-k0-'li 
accolees a-k0-'li 
accolent a-'k0l 
accoler a-k0-'le 
accoles a-'k0l 
accolées a-k0-'le 
accolés a-k0-'le 
accommodé a-k0-m0-'de 
accommoda a-k0-m0-'da 
accommodaient a-k0-m0-'dE 
accommodait a-k0-m0-'dE 
accommodant a-k0-m0-'da~ 
accommodante a-k0-m0-'da~t 
accommodantes a-k0-m0-'da~t 
accommodants a-k0-m0-'da~ 
accommode a-k0-'m0d 
accommodée a-k0-m0-'de 
accommodee a-k0-m0-'di 
accommodees a-k0-m0-'di 
accommodement a-k0-m0-d@-'ma~ 
accommodements a-k0-m0-d@-'ma~ 
accommodent a-k0-'m0d 
accommoder a-k0-m0-'de 
accommodera a-k0-m0-d@-'Ra 
accommoderaient a-k0-m0-d@-'RE 
accommoderait a-k0-m0-d@-'RE 
accommoderent a-k0-m0-d@-'Ra~ 
accommoderont a-k0-m0-d@-'Ro~ 
accommodes a-k0-'m0d 
accommodées a-k0-m0-'de 
accommodèrent a-k0-m0-'dER 
accommodés a-k0-m0-'de 
accompagné a-ko~-pa-'nje 
accompagna a-ko~-pa-'nja 
accompagnaient a-ko~-pa-'njE 
accompagnais a-ko~-pa-'njE 
accompagnait a-ko~-pa-'njE 
accompagnant a-ko~-pa-'nja~ 
accompagnateur a-ko~-pa-nja-'t9R 
accompagnateurs a-ko~-pa-nja-'t9R 
accompagnatrice a-ko~-pa-nja-'tRis 
accompagnatrices a-ko~-pa-nja-'tRis 
accompagne a-ko~-'panj 
accompagnée a-ko~-pa-'nje 
accompagnee a-ko~-pa-'nji 
accompagnees a-ko~-pa-'nji 
accompagnement a-ko~-pa-nj@-'ma~ 
accompagnements a-ko~-pa-nj@-'ma~ 
